question,1,2,3,4,prompt,prompt_answer,answer,correct answer,evaluation,justificacion
En un paciente con síndrome nefrótico es posible encontrar una de las siguientes alteraciones plasmáticas en el pe rfil lipoproteico:,Disminución de las lipoproteínas de muy baja densidad (VLDL).,Aumento de la apolipoproteína B-100.,Aumento de la apolipoproteína A-I.,Aumento de la actividad lipoproteínlipasa (LPL).,"En un paciente con síndrome nefrótico es posible encontrar una de las siguientes alteraciones plasmáticas en el pe rfil lipoproteico: 
1) Disminución de las lipoproteínas de muy baja densidad (VLDL).
2) Aumento de la apolipoproteína B-100.
3) Aumento de la apolipoproteína A-I.
4) Aumento de la actividad lipoproteínlipasa (LPL). 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': '2) Aumento de la apolipoproteína B-100.', 'justificación': ""El síndrome nefrótico es una enfermedad caracterizada por una pérdida excesiva de proteínas por los riñones, en particular, de las albúminas. Esto lleva a una disminución de las proteínas plasmáticas y un aumento de la relación de lípidos/proteínas en el plasma, lo que se refleja en un aumento de las lipoproteínas de baja densidad (LDL) y de las lipoproteínas de muy baja densidad (VLDL) y un aumento de la apolipoproteína B-100, siendo esta la respuesta correcta.""}",2,2,True,"El síndrome nefrótico es una enfermedad caracterizada por una pérdida excesiva de proteínas por los riñones, en particular, de las albúminas. Esto lleva a una disminución de las proteínas plasmáticas y un aumento de la relación de lípidos/proteínas en el plasma, lo que se refleja en un aumento de las lipoproteínas de baja densidad (LDL) y de las lipoproteínas de muy baja densidad (VLDL) y un aumento de la apolipoproteína B-100, siendo esta la respuesta correcta.""}"
"En relación con el metabolismo de compuestos nitrogenados, el músculo esquelético es capaz de:",Sintetizar de forma limitada urea en situacio-nes de disfunción hepática para paliar la toxi-cidad del amoníaco.,Utilizar los alfa-cetoácidos derivados de los aminoácidos ramificados como fuente energé-tica.,"Producir alanina por transaminación a partir de piruvato y ácido aspártico, particularmente en determinadas situaciones de ayuno.","Elaborar creatina utilizando glicina, ATP y amoníaco para obtener creatin-fosfato como reserva energética y posibilitar su uso durante el ejercicio.","En relación con el metabolismo de compuestos nitrogenados, el músculo esquelético es capaz de:
1) Sintetizar de forma limitada urea en situacio-nes de disfunción hepática para paliar la toxi-cidad del amoníaco.
2) Utilizar los alfa-cetoácidos derivados de los aminoácidos ramificados como fuente energé-tica.
3) Producir alanina por transaminación a partir de piruvato y ácido aspártico, particularmente en determinadas situaciones de ayuno.
4) Elaborar creatina utilizando glicina, ATP y amoníaco para obtener creatin-fosfato como reserva energética y posibilitar su uso durante el ejercicio. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': 4, 'justificación': El músculo esquelético es capaz de elaborar creatina utilizando glicina, ATP y amoníaco para obtener creatin-fosfato como reserva energética y posibilitar su uso durante el ejercicio.}",4,2,False,"El músculo esquelético es capaz de elaborar creatina utilizando glicina, ATP y amoníaco para obtener creatin-fosfato como reserva energética y posibilitar su uso durante el ejercicio.}"
En la glucogenosis de t ipo Ia (enfermedad de vonGierke) por déficit de glucosa-6-fosfatasa es característico:,El aumento de glucógeno muscular.,La hipouricemia por reducción en la reabsor-ción renal de ácido úrico.,El aumento del lactato plasmático.,La disminución de la síntesis hepática de tri-glicéridos.,"En la glucogenosis de t ipo Ia (enfermedad de vonGierke) por déficit de glucosa-6-fosfatasa es característico: 
1) El aumento de glucógeno muscular.
2) La hipouricemia por reducción en la reabsor-ción renal de ácido úrico.
3) El aumento del lactato plasmático.
4) La disminución de la síntesis hepática de tri-glicéridos. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': 1, 'justificación': ""En la enfermedad de von Gierke, el déficit de glucosa-6-fosfatasa, una enzima que interviene en la degradación del glucógeno, provoca un acúmulo excesivo de glucógeno en el hígado y el músculo, ya que no puede ser degradado y utilizado como fuente de energía""}",1,3,False,"En la enfermedad de von Gierke, el déficit de glucosa-6-fosfatasa, una enzima que interviene en la degradación del glucógeno, provoca un acúmulo excesivo de glucógeno en el hígado y el músculo, ya que no puede ser degradado y utilizado como fuente de energía""}"
"En relación con las presiones que originan el movimiento de entrada y salida de aire en los pulmones en una persona sana, señale la afirma-ción INCORRECTA:",La aspiración continua del exceso de líquidos hacia los conductos linfáticos mantiene una li-gera presión negativa entre la superficie visce-ral del pulmón y la superficie pleural parietal de la cavidad torácica.,"Durante la inspiración normal, la presión pleu-ral se hace más negativa.","Durante la espiración normal, la presión alveo-lar disminuye con respecto al valor de la pre-sión atmosférica.",La presión transpulmonar (presión alveolar menos presión pleural) tiende a colapsar los pulmones durante el ciclo respiratorio comple-to.,"En relación con las presiones que originan el movimiento de entrada y salida de aire en los pulmones en una persona sana, señale la afirma-ción INCORRECTA: 
1) La aspiración continua del exceso de líquidos hacia los conductos linfáticos mantiene una li-gera presión negativa entre la superficie visce-ral del pulmón y la superficie pleural parietal de la cavidad torácica.
2) Durante la inspiración normal, la presión pleu-ral se hace más negativa.
3) Durante la espiración normal, la presión alveo-lar disminuye con respecto al valor de la pre-sión atmosférica.
4) La presión transpulmonar (presión alveolar menos presión pleural) tiende a colapsar los pulmones durante el ciclo respiratorio comple-to. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': ""4) La presión transpulmonar (presión alveolar menos presión pleural) tiende a colapsar los pulmones durante el ciclo respiratorio completo."", 'justificación': ""La presión transpulmonar, o la diferencia entre la presión en los alvéolos y la presión en el espacio pleural, normalmente es positiva y ayuda a mantener los pulmones expandidos. Durante la inspiración, la presión pleural se hace más negativa, lo que permite que el aire entre en los pulmones. Durante la espiración, la presión alveolar se acerca más a la presión atmosférica y el aire sale de los pulmones.""}",4,3,False,"La presión transpulmonar, o la diferencia entre la presión en los alvéolos y la presión en el espacio pleural, normalmente es positiva y ayuda a mantener los pulmones expandidos. Durante la inspiración, la presión pleural se hace más negativa, lo que permite que el aire entre en los pulmones. Durante la espiración, la presión alveolar se acerca más a la presión atmosférica y el aire sale de los pulmones.""}"
El flujo sanguíneo tur bulento tiende a aumentar en proporción directa a to dos los siguientes fac-tores EXCEPTO UNO. Señale cuál:,Viscosidad de la sangre.,Velocidad del flujo sanguíneo.,Diámetro del vaso sanguíneo.,Densidad de la sangre.,"El flujo sanguíneo tur bulento tiende a aumentar en proporción directa a to dos los siguientes fac-tores EXCEPTO UNO. Señale cuál: 
1) Viscosidad de la sangre.
2) Velocidad del flujo sanguíneo.
3) Diámetro del vaso sanguíneo.
4) Densidad de la sangre.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': 4, 'justificación': 'La densidad de la sangre no está relacionada directamente con el flujo sanguíneo turbulento, ya que el flujo sanguíneo turbulento se produce cuando la velocidad del flujo sanguíneo es alta y el diámetro del vaso sanguíneo es pequeño, mientras que la densidad de la sangre es una medida de la cantidad de células y proteínas en la sangre, y no está relacionada directamente con la velocidad o el diámetro del vaso sanguíneo.'}",4,1,False,"La densidad de la sangre no está relacionada directamente con el flujo sanguíneo turbulento, ya que el flujo sanguíneo turbulento se produce cuando la velocidad del flujo sanguíneo es alta y el diámetro del vaso sanguíneo es pequeño, mientras que la densidad de la sangre es una medida de la cantidad de células y proteínas en la sangre, y no está relacionada directamente con la velocidad o el diámetro del vaso sanguíneo.'}"
"En relación con la regulación del intercambio de líquido y del equilibrio osmótico entre los líqui-dos intracelular y extracelular en una situación fisiológica, señale la afirmación INCORRECTA:",La distribución del líquido entre los comparti-mentos intracelular y extracelular está deter-minada sobre todo por el efecto osmótico de los iones más pequeños.,Alrededor del 80 % de la osmolaridad total del líquido intersticial y del plasma se debe a los iones sodio y cloro.,Alrededor del 50 % de la osmolaridad en el líquido intracelular se de be a los iones calcio.,Cambios relativamente pequeños en la concen-tración de solutos no difusibles en el líquido extracelular pueden causar grandes cambios en el volumen celular.,"En relación con la regulación del intercambio de líquido y del equilibrio osmótico entre los líqui-dos intracelular y extracelular en una situación fisiológica, señale la afirmación INCORRECTA:
1) La distribución del líquido entre los comparti-mentos intracelular y extracelular está deter-minada sobre todo por el efecto osmótico de los iones más pequeños.
2) Alrededor del 80 % de la osmolaridad total del líquido intersticial y del plasma se debe a los iones sodio y cloro.
3) Alrededor del 50 % de la osmolaridad en el líquido intracelular se de be a los iones calcio.
4) Cambios relativamente pequeños en la concen-tración de solutos no difusibles en el líquido extracelular pueden causar grandes cambios en el volumen celular.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': 3, 'justificación': 'La afirmación incorrecta es la número 3, ya que el calcio no es un ion importante en la regulación de la osmolaridad celular, la mayor parte de la osmolaridad en el líquido intracelular se debe a los iones potasio y fosfato.'}",3,3,True,"La afirmación incorrecta es la número 3, ya que el calcio no es un ion importante en la regulación de la osmolaridad celular, la mayor parte de la osmolaridad en el líquido intracelular se debe a los iones potasio y fosfato.'}"
Señala la respuesta correcta respecto a la reab-sorción renal de sodio:,"En el asa ascendente de Henle se reabsorbe sodio, sin reabsorber agua.",En el túbulo colector se reabsorbe un 20 % del sodio.,La mayor reabsorción de sodio se produce en el túbulo distal.,La reabsorción de sodio en el túbulo proximal está mediada por la aldosterona.,"Señala la respuesta correcta respecto a la reab-sorción renal de sodio: 
1) En el asa ascendente de Henle se reabsorbe sodio, sin reabsorber agua.
2) En el túbulo colector se reabsorbe un 20 % del sodio.
3) La mayor reabsorción de sodio se produce en el túbulo distal.
4) La reabsorción de sodio en el túbulo proximal está mediada por la aldosterona.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': 3, 'justificación': 'La mayor reabsorción de sodio se produce en el túbulo distal, donde se utiliza la proteína transportadora Na+/K+/2Cl- para reabsorber el sodio. La reabsorción de sodio en el túbulo proximal está mediada por la co-transportadora Na+/glucosa.'}",3,1,False,"La mayor reabsorción de sodio se produce en el túbulo distal, donde se utiliza la proteína transportadora Na+/K+/2Cl- para reabsorber el sodio. La reabsorción de sodio en el túbulo proximal está mediada por la co-transportadora Na+/glucosa.'}"
¿Cómo se denomina el inicio pro gresivamente más precoz y el incremento de la gravedad de las manifestaciones clínicas de una enfermedad a lo largo de las sucesi vas generaciones?:,Penetrancia variable.,Anticipación genética.,Anticipación alélica.,Penetrancia completa.,"¿Cómo se denomina el inicio pro gresivamente más precoz y el incremento de la gravedad de las manifestaciones clínicas de una enfermedad a lo largo de las sucesi vas generaciones?: 
1) Penetrancia variable.
2) Anticipación genética.
3) Anticipación alélica.
4) Penetrancia completa.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': 2, 'justificación': ""La anticipación genética se refiere al inicio progresivamente más precoz y al incremento de la gravedad de las manifestaciones clínicas de una enfermedad a lo largo de las sucesivas generaciones.""}",2,2,True,"La anticipación genética se refiere al inicio progresivamente más precoz y al incremento de la gravedad de las manifestaciones clínicas de una enfermedad a lo largo de las sucesivas generaciones.""}"
"En relación con el papel de la inmuno globulina A (IgA) en la defensa frente a pató genos, señale la respuesta INCORRECTA:",La IgA activa la vía clásica del complemento contribuyendo a la eliminación de bacterias ex-tracelulares.,La IgA pasa de la madre al recién nacido du-rante la lactancia contri buyendo a la protección de las mucosas del neonato.,La IgA puede atravesar la barrera epitelial de las mucosas uniéndose al receptor poli-Ig (pIgR) siendo la inmunoglobulina más abun-dante en las mucosas.,El déficit selectivo de IgA es la inmunodefi-ciencia más frecuente (aproximadamente 1:400) y la mayoría de los casos son asintomá-ticos.,"En relación con el papel de la inmuno globulina A (IgA) en la defensa frente a pató genos, señale la respuesta INCORRECTA: 
1) La IgA activa la vía clásica del complemento contribuyendo a la eliminación de bacterias ex-tracelulares.
2) La IgA pasa de la madre al recién nacido du-rante la lactancia contri buyendo a la protección de las mucosas del neonato.
3) La IgA puede atravesar la barrera epitelial de las mucosas uniéndose al receptor poli-Ig (pIgR) siendo la inmunoglobulina más abun-dante en las mucosas.
4) El déficit selectivo de IgA es la inmunodefi-ciencia más frecuente (aproximadamente 1:400) y la mayoría de los casos son asintomá-ticos. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': 4, 'justificación': 'La afirmación incorrecta es la número 4, ya que el déficit selectivo de IgA es una de las inmunodeficiencias más raras, con una incidencia de aproximadamente 1:700.000 y los pacientes afectados suelen presentar enfermedad autoinmune o infecciones recurrentes.'}",4,1,False,"La afirmación incorrecta es la número 4, ya que el déficit selectivo de IgA es una de las inmunodeficiencias más raras, con una incidencia de aproximadamente 1:700.000 y los pacientes afectados suelen presentar enfermedad autoinmune o infecciones recurrentes.'}"
Entre las nuevas medidas de protección contra el COVID-19 se inclu ye el uso de terapias basadas en anticuerpos monoclonales frente la proteína S (spike ) del SARS-CoV-2 (tixagevimab y cilgavi-mab). Este tratamiento:,Es una forma de inmunización activa cuyo resultado depende de la activación de linfoci-tos memoria.,"Está indicado en pacientes inmunodeprimidos, como los pacientes con trasplante de órganos.",Confiere protección durante un período de tiempo aproximado de dos años.,Induce memoria inmunológica basada en la activación de linfocitos B.,"Entre las nuevas medidas de protección contra el COVID-19 se inclu ye el uso de terapias basadas en anticuerpos monoclonales frente la proteína S (spike ) del SARS-CoV-2 (tixagevimab y cilgavi-mab). Este tratamiento: 
1) Es una forma de inmunización activa cuyo resultado depende de la activación de linfoci-tos memoria.
2) Está indicado en pacientes inmunodeprimidos, como los pacientes con trasplante de órganos.
3) Confiere protección durante un período de tiempo aproximado de dos años.
4) Induce memoria inmunológica basada en la activación de linfocitos B. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}","{'respuesta': 4, 'justificación': 'El uso de terapias basadas en anticuerpos monoclonales frente a la proteína S del SARS-CoV-2, como tixagevimab y cilgavimab, no es una forma de inmunización activa, sino una terapia de tratamiento. Estas terapias no confieren protección durante un período de tiempo prolongado, sino que su efectividad se basa en la capacidad de los anticuerpos monoclonales para neutralizar el virus y prevenir la propagación del mismo. Además, no está indicado específicamente en pacientes inmunodeprimidos, sino en pacientes con COVID-19 moderado a grave. El objetivo de estas terapias es inhibir la entrada del virus al cuerpo y/o su capacidad de replicarse en las células del huésped.'}",4,2,False,"El uso de terapias basadas en anticuerpos monoclonales frente a la proteína S del SARS-CoV-2, como tixagevimab y cilgavimab, no es una forma de inmunización activa, sino una terapia de tratamiento. Estas terapias no confieren protección durante un período de tiempo prolongado, sino que su efectividad se basa en la capacidad de los anticuerpos monoclonales para neutralizar el virus y prevenir la propagación del mismo. Además, no está indicado específicamente en pacientes inmunodeprimidos, sino en pacientes con COVID-19 moderado a grave. El objetivo de estas terapias es inhibir la entrada del virus al cuerpo y/o su capacidad de replicarse en las células del huésped.'}"
